,Timestamp,X,Y,PlrID,TeamName
0,0.0,,,0,
1,0.1,0.0,0.5,0,
2,0.2,0.0,1.0,0,
3,0.3,0.0,0.7,0,
4,0.4,0.0,0.4,0,
5,0.5,0.1,0.1,0,
6,0.6,0.1,-0.2,0,
7,0.7,0.1,-0.5,0,
8,0.8,0.2,-0.8,0,
9,0.9,0.2,-1.1,0,
10,1.0,0.3,-1.4,0,
11,1.1,-0.6,-0.9,0,
12,1.2,-1.6,-0.5,0,
13,1.3,-2.5,-0.1,0,
14,1.4,-3.5,0.2,0,
15,1.5,-4.4,0.7,0,
16,1.6,-5.4,1.1,0,
17,1.7,-6.3,1.5,0,
18,1.8,-7.3,1.9,0,
19,1.9,-8.2,2.3,0,
20,2.0,-9.2,2.8,0,
21,2.1,-10.1,3.2,0,
22,2.2,-11.1,3.6,0,
23,2.3,-12.0,4.0,0,
24,2.4,-13.0,4.5,0,
25,2.5,-13.9,4.9,0,
26,2.6,-14.9,5.3,0,
27,2.7,-15.8,5.7,0,
28,2.8,-16.8,6.1,0,
29,2.9,-17.7,6.6,0,
30,3.0,-18.7,7.0,0,
31,3.1,-19.6,7.4,0,
32,3.2,-20.6,7.8,0,
33,3.3,-21.5,8.3,0,
34,3.4,-22.5,8.7,0,
35,3.5,-23.4,9.1,0,
36,3.6,-24.4,9.5,0,
37,3.7,-25.3,9.9,0,
38,3.8,-26.3,10.4,0,
39,3.9,-27.2,10.8,0,
40,4.0,-28.2,11.2,0,
41,4.1,-29.1,11.6,0,
42,4.2,-30.1,12.1,0,
43,4.3,-30.0,12.2,0,
44,4.4,-30.0,12.3,0,
45,4.5,-30.0,12.4,0,
46,4.6,-30.0,12.5,0,
47,4.7,-30.0,12.6,0,
48,4.8,-30.0,12.7,0,
49,4.9,-30.0,12.8,0,
50,5.0,-30.0,12.9,0,
51,5.1,-30.0,13.0,0,
52,5.2,-30.0,13.1,0,
53,5.3,-30.0,13.2,0,
54,5.4,-30.0,13.3,0,
55,5.5,-30.0,13.4,0,
56,5.6,-28.8,12.3,0,
57,5.7,-27.6,11.3,0,
58,5.8,-26.4,10.3,0,
59,5.9,-25.2,9.3,0,
60,6.0,-24.0,8.3,0,
61,6.1,-22.8,7.3,0,
62,6.2,-21.6,6.2,0,
63,6.3,-20.4,5.2,0,
64,6.4,-19.2,4.2,0,
65,6.5,-18.0,3.2,0,
66,6.6,-16.8,2.2,0,
67,6.7,-15.6,1.2,0,
68,6.8,-14.4,0.2,0,
69,6.9,-13.2,-0.8,0,
70,7.0,-12.0,-1.8,0,
71,7.1,-10.8,-2.8,0,
72,7.2,-9.6,-3.8,0,
73,7.3,-8.4,-4.8,0,
74,7.4,-7.2,-5.8,0,
75,7.5,-6.0,-6.8,0,
76,7.6,-4.8,-7.9,0,
77,7.7,-3.6,-8.9,0,
78,7.8,-2.4,-9.9,0,
79,7.9,-1.2,-10.9,0,
80,8.0,0.0,-11.9,0,
81,8.1,1.1,-12.9,0,
82,8.2,2.3,-14.0,0,
83,8.3,1.8,-14.2,0,
84,8.4,1.4,-14.5,0,
85,8.5,1.0,-14.8,0,
86,8.6,0.5,-15.0,0,
87,8.7,0.1,-15.3,0,
88,8.8,-0.3,-15.6,0,
89,8.9,-0.7,-15.8,0,
90,9.0,-1.1,-16.1,0,
91,9.1,-1.6,-16.4,0,
92,9.2,-2.0,-16.6,0,
93,9.3,-2.4,-16.9,0,
94,9.4,-2.9,-17.2,0,
95,9.5,-3.3,-17.4,0,
96,9.6,-3.7,-17.7,0,
97,9.7,-4.2,-18.0,0,
98,9.8,-4.6,-18.2,0,
99,9.9,-5.0,-18.5,0,
100,10.0,-5.5,-18.8,0,
101,10.1,-4.7,-18.2,0,
102,10.2,-3.9,-17.6,0,
103,10.3,-3.1,-17.0,0,
104,10.4,-2.3,-16.5,0,
105,10.5,-1.5,-15.9,0,
106,10.6,-0.7,-15.3,0,
107,10.7,0.1,-14.7,0,
108,10.8,0.9,-14.2,0,
109,10.9,1.7,-13.6,0,
110,11.0,2.5,-13.0,0,
111,11.1,3.3,-12.5,0,
112,11.2,3.8,-12.8,0,
113,11.3,4.3,-13.1,0,
114,11.4,4.8,-13.5,0,
115,11.5,5.3,-13.8,0,
116,11.6,5.8,-14.2,0,
117,11.7,6.3,-14.5,0,
118,11.8,6.8,-14.9,0,
119,11.9,7.3,-15.2,0,
120,12.0,7.8,-15.6,0,
121,12.1,8.0,-15.5,0,
122,12.2,8.3,-15.4,0,
123,12.3,8.5,-15.3,0,
124,12.4,8.8,-15.2,0,
125,12.5,9.1,-15.1,0,
126,12.6,9.9,-14.9,0,
127,12.7,10.8,-14.7,0,
128,12.8,11.7,-14.5,0,
129,12.9,12.5,-14.3,0,
130,13.0,13.4,-14.1,0,
131,13.1,14.3,-13.9,0,
132,13.2,15.2,-13.7,0,
133,13.3,16.0,-13.5,0,
134,13.4,16.9,-13.3,0,
135,13.5,17.8,-13.1,0,
136,13.6,18.6,-12.9,0,
137,13.7,19.5,-12.7,0,
138,13.8,20.4,-12.5,0,
139,13.9,21.3,-12.3,0,
140,14.0,22.1,-12.1,0,
141,14.1,23.0,-11.9,0,
142,14.2,23.9,-11.7,0,
143,14.3,24.7,-11.5,0,
144,14.4,25.6,-11.3,0,
145,14.5,26.5,-11.1,0,
146,14.6,27.4,-10.9,0,
147,14.7,28.2,-10.7,0,
